Ejecucion nueva 
TAM	INT	LONG	FLOAT	DOUBLE
100	0.018000	0.018000	0.022000	0.021000	
200	0.075000	0.074000	0.088000	0.086000	
300	0.168000	0.168000	0.198000	0.191000	
400	0.314000	0.299000	0.325000	0.346000	
500	0.435000	0.508000	0.553000	0.528000	
600	0.662000	0.667000	0.789000	0.759000	
700	0.857000	0.863000	0.993000	1.038000	
800	1.223000	1.197000	1.414000	1.353000	
900	1.643000	1.553000	1.671000	1.784000	
1000	1.837000	1.863000	2.208000	2.088000	
1100	2.266000	2.310000	2.648000	2.658000	
1200	2.861000	2.597000	3.084000	3.146000	
1300	3.084000	3.096000	3.616000	3.654000	
1400	3.720000	3.869000	4.379000	4.267000	
1500	4.458000	4.369000	5.114000	4.999000	
1600	5.164000	5.019000	5.985000	5.724000	
1700	5.436000	5.842000	6.272000	6.512000	
1800	6.611000	6.461000	7.587000	7.144000	
1900	7.293000	7.225000	8.251000	7.847000	
2000	8.172000	7.852000	9.221000	9.159000	
2100	8.878000	8.795000	10.612000	9.732000	
2200	9.271000	9.924000	11.476000	10.506000	
2300	10.859000	10.690000	12.182000	11.984000	
2400	11.520000	11.605000	13.674000	13.048000	
2500	12.506000	12.606000	14.695000	14.197000	
2600	13.796000	13.771000	15.377000	15.034000	
2700	14.692000	14.396000	17.119000	16.292000	
2800	15.828000	15.830000	18.284000	17.826000	
2900	17.219000	16.374000	19.490000	19.311000	
3000	18.218000	18.163000	21.307000	20.582000	
3100	19.778000	19.047000	22.655000	21.519000	
3200	21.245000	20.694000	24.303000	22.473000	
3300	22.413000	22.075000	25.830000	25.047000	
3400	23.809000	23.564000	27.280000	25.860000	
3500	25.340000	24.944000	29.120000	28.385000	
3600	26.829000	26.491000	30.814000	29.714000	
3700	27.722000	27.778000	32.436000	30.477000	
3800	29.571000	28.079000	34.184000	33.399000	
3900	30.558000	30.351000	36.295000	35.027000	
4000	32.597000	32.870000	37.318000	36.674000	
4100	34.748000	34.272000	40.230000	38.344000	
4200	36.314000	35.992000	42.231000	39.317000	
4300	37.936000	37.741000	44.307000	43.065000	
4400	39.447000	39.346000	45.849000	43.668000	
4500	41.771000	41.667000	48.091000	45.352000	
4600	72.323000	42.852000	50.726000	48.489000	
4700	45.304000	45.148000	51.770000	50.910000	
4800	47.713000	47.210000	55.211000	53.222000	
4900	49.765000	48.640000	57.344000	55.774000	
